Chromosome	Approved_Gene_Symbol	OMIM_INFO
chr1	AURKAIP1	609183.0 | AURKAIP1, AKIP, AIP | Aurora kinase A-interacting protein 1 | 54998.0 | ENSG00000175756 | nan | nan
chr1	CCNL2	613482.0 | CCNL2 | Cyclin L2 | 81669.0 | ENSG00000221978 | nan | nan
chr1	MRPL20	611833.0 | MRPL20 | Mitochondrial ribosomal protein L20 | 55052.0 | ENSG00000242485 | nan | nan
chr1	VWA1	611901.0 | VWA1, WARP, HMNR7 | von Willebrand factor A domain-containing protein 1 | 64856.0 | ENSG00000179403 | nan | Neuronopathy, distal hereditary motor, autosomal recessive 7, 619216 (3), Autosomal recessive
chr1	ATAD3C	617227.0 | ATAD3C | ATPase family, AAA domain-containing, member 3C | 219293.0 | ENSG00000215915 | nan | nan
chr1	ATAD3B	612317.0 | ATAD3B, TOB3, KIAA1273 | ATPase family, AAA domain-containing, member 3B | 83858.0 | ENSG00000160072 | nan | nan
chr1	ATAD3A	612316.0 | ATAD3A, HAYOS, PHRINL | ATPase family, AAA domain-containing, member 3A | 55210.0 | ENSG00000197785 | nan | Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominant; Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive
chr1	TMEM240	616101.0 | TMEM240, C1orf70, SCA21 | Transmembrane protein 240 | 339453.0 | ENSG00000205090 | nan | Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant
chr1	SSU72	617680.0 | SSU72 | SSU72 homolog, RNA polymerase II CTD phosphatase | 29101.0 | ENSG00000160075 | nan | nan
chr1	MIB2	611141.0 | MIB2 | Mindbomb E3 ubiquitin protein ligase 2 | 142678.0 | ENSG00000197530 | nan | nan
chr1	MMP23B	603321.0 | MMP23B, MMP22 | Matrix metalloproteinase 23B | 8510.0 | ENSG00000189409 | nan | nan
chr1	CDK11B	176873.0 | CDK11B, CDC2L1, P58, CDK11 | Cyclin-dependent kinase 11B | 984.0 | ENSG00000248333 | nan | nan
chr1	SLC35E2B	619315.0 | SLC35E2B, KIAA0447 | Solute carrier family 35, member E2B | 728661.0 | ENSG00000189339 | nan | nan
chr1	MMP23A	603320.0 | MMP23A, MMP21, MIFR | Matrix metalloproteinase 23A | 8511.0 | ENSG00000310190 | nan | nan
chr1	CDK11A	116951.0 | CDK11A, CDC2L2 | Cyclin-dependent kinase 11A | 728642.0 | ENSG00000008128 | nan | nan
chr1	NADK	611616.0 | NADK | NAD kinase | 65220.0 | ENSG00000008130 | nan | nan
chr1	GNB1	139380.0 | GNB1, MRD42, MDS | Guanine nucleotide-binding protein, beta polypeptide-1 | 2782.0 | ENSG00000078369 | nan | Myelodysplastic syndrome, somatic, 614286 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3); Intellectual developmental disorder, autosomal dominant 42, 616973 (3), Autosomal dominant
chr1	CALML6	610171.0 | CALML6, CAGLP | Calmodulin-like 6 | 163688.0 | ENSG00000169885 | nan | nan
chr1	CFAP74	620187.0 | CFAP74, KIAA1751, C1orf222, CILD49 | Cilia- and flagella-associated protein 74 | 85452.0 | ENSG00000142609 | nan | Ciliary dyskinesia, primary, 49, without situs inversus, 620197 (3), Autosomal recessive
chr1	GABRD	137163.0 | GABRD, GEFSP5 | Gamma-aminobutyric acid (GABA) A receptor, delta | 2563.0 | ENSG00000187730 | mutation identified in 1 GEFSP5 family | {?Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant
chr1	PRKCZ	176982.0 | PRKCZ, PKC2 | Protein kinase C, zeta form | 5590.0 | ENSG00000067606 | nan | nan
chr1	FAAP20	615183.0 | C1orf86, FAAP20 | Chromosome 1 open reading frame 86 | 199990.0 | ENSG00000162585 | nan | nan
chr1	SKI	164780.0 | SKI, SGS | SKI protooncogene | 6497.0 | ENSG00000157933 | formerly mapped to 1q22-q24 | Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant
chr1	DYT13	607671.0 | DYT13 | Dystonia 13, torsion | 93983.0 | nan | nan | Dystonia 13, torsion, 607671 (2), Autosomal dominant
chr1	KONDS	606242.0 | KONDS | Kondoh syndrome | 100653373.0 | nan | linked to rs966321 and rs1441834 | Kondoh syndrome, 606242 (2), Autosomal recessive
chr1	RER1	620048.0 | RER1 | Retention in endoplasmic reticulum sorting receptor 1 | 11079.0 | ENSG00000157916 | nan | nan
chr1	PEX10	602859.0 | PEX10, NALD, PBD6A, PBD6B | Peroxisome biogenesis factor 10 | 5192.0 | ENSG00000157911 | nan | Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive
chr1	PLCH2	612836.0 | PLCH2, PLCL4 | Phospholipase C, eta-2 | 9651.0 | ENSG00000149527 | nan | nan
chr1	PANK4	606162.0 | PANK4, CTRCT49 | Pantothenate kinase 4 | 55229.0 | ENSG00000157881 | mutation identified in 1 CTRCT49 family | ?Cataract 49, 619593 (3), Autosomal dominant
chr1	HES5	607348.0 | HES5 | Hes family bHLH transcription factor 5 | 388585.0 | ENSG00000197921 | nan | nan
chr1	TNFRSF14	602746.0 | TNFRSF14, HVEM, TR2 | Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator) | 8764.0 | ENSG00000157873 | nan | nan
chr1	MMEL1	618104.0 | MMEL1, NEPII, NEP2, NL1, SEP | Membrane metalloendopeptidase-like 1 | 79258.0 | ENSG00000142606 | nan | nan
chr1	ACTRT2	608535.0 | ACTRT2, ARPT2, ARPM2 | Actin-related protein T2 | 140625.0 | ENSG00000169717 | nan | nan
chr1	PRDM16	605557.0 | PRDM16, MEL1, LVNC8, CMD1LL | PR domain-containing protein 16 | 63976.0 | ENSG00000142611 | nan | Left ventricular noncompaction 8, 615373 (3), Autosomal dominant; Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant
chr1	ARHGEF16	618871.0 | ARHGEF16 | RHO guanine nucleotide exchange factor 16 | 27237.0 | ENSG00000130762 | nan | nan
chr1	MEGF6	604266.0 | MEGF6, EGFL3 | Multiple epidermal growth factor-like domains 6 | 1953.0 | ENSG00000162591 | nan | nan
chr1	MIR551A	615148.0 | MIR551A | Micro RNA 551A | 693135.0 | ENSG00000207776 | nan | nan
chr1	TPRG1L	611460.0 | TPRG1L, FAM79A | Tumor protein p63 regulated 1-like | 127262.0 | ENSG00000158109 | nan | nan
chr1	WRAP73	606040.0 | WDR8 | WD repeat-containing protein 8 | 49856.0 | ENSG00000116213 | nan | nan
chr1	TP73	601990.0 | TP73, CILD47 | p53-related protein | 7161.0 | ENSG00000078900 | imprinted | Ciliary dyskinesia, primary, 47, and lissencephaly, 619466 (3), Autosomal recessive
chr1	SMIM1	615242.0 | SMIM1, VEL | Small integral membrane protein 1 | 388588.0 | ENSG00000235169 | nan | [Blood group, Vel system], 615264 (3), Autosomal recessive
chr1	LRRC47	619154.0 | LRRC47, KIAA1185 | Leucine-rich repeat-containing protein 47 | 57470.0 | ENSG00000130764 | nan | nan
chr1	CEP104	616690.0 | CEP104, GLYBP, KIAA0562, JBTS25, MRT77 | Centrosomal protein, 104kD | 9731.0 | ENSG00000116198 | nan | Joubert syndrome 25, 616781 (3), Autosomal recessive; Intellectual developmental disorder, autosomal recessive 77, 619988 (3), Autosomal recessive
chr1	DFFB	601883.0 | DFFB, CAD, DFF2 | DNA fragmentation factor, 40kD, beta subunit | 1677.0 | ENSG00000169598 | nan | nan
chr1	AJAP1	610972.0 | AJAP1, SHREW1 | Adherens junction-associated protein 1 | 55966.0 | ENSG00000196581 | nan | nan
chr1	DFNB96	614414.0 | DFNB96 | Deafness, autosomal recessive 96 | 100861440.0 | nan | between rs3817914 and rs477558 | Deafness, autosomal recessive 96, 614414 (2), Autosomal recessive
chr1	NPHP4	607215.0 | NPHP4, SLSN4 | Nephrocystin 4 | 261734.0 | ENSG00000131697 | nan | Senior-Loken syndrome 4, 606996 (3), Autosomal recessive; Nephronophthisis 4, 606966 (3), Autosomal recessive
chr1	KCNAB2	601142.0 | KCNAB2, KCNA2B | Potassium voltage-gated channel, shaker-related subfamily, beta member 2 | 8514.0 | ENSG00000069424 | nan | nan
chr1	CHD5	610771.0 | CHD5, PMNDS | Chromodomain helicase DNA-binding protein 5 | 26038.0 | ENSG00000116254 | nan | Parenti-Mignot neurodevelopmental syndrome, 619873 (3), Autosomal dominant
chr1	RPL22	180474.0 | RPL22, EAP | Ribosomal protein L22 | 6146.0 | ENSG00000116251 | fused with AML1 in t(3;21) | nan
chr1	RNF207	616923.0 | RNF207, C1orf188 | RING finger protein 207 | 388591.0 | ENSG00000158286 | nan | nan
chr1	ICMT	605851.0 | ICMT | Isoprenylcysteine carboxylmethyltransferase | 23463.0 | ENSG00000116237 | nan | nan
chr1	HES3	609971.0 | HES3 | Hes family bHLH transcription factor 3 | 390992.0 | ENSG00000173673 | nan | nan
chr1	GPR153	614269.0 | GPR153 | G protein-coupled receptor 153 | 387509.0 | ENSG00000158292 | nan | nan
chr1	ACOT7	602587.0 | ACOT7, BACH, LACH | Acyl-CoA thioesterase 7 | 11332.0 | ENSG00000097021 | nan | nan
chr1	HES2	609970.0 | HES2 | Hes family bHLH transcription factor 2 | 54626.0 | ENSG00000069812 | nan | nan
chr1	ESPN	606351.0 | ESPN, USH1M | Espin | 83715.0 | ENSG00000187017 | mutation identified in 1 USH1M family | Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive; Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; ?Usher syndrome, type 1M, 618632 (3), Autosomal recessive
chr1	TNFRSF25	603366.0 | TNFRSF25, TNFRSF12, DR3, LARD | Tumor necrosis factor receptor superfamily, member 25 | 8718.0 | ENSG00000215788 | nan | nan
chr1	PLEKHG5	611101.0 | PLEKHG5, KIAA0720, HMNR4, CMTRIC | Pleckstrin homology domain- and RhoGEF domain-containing protein G5 | 57449.0 | ENSG00000171680 | nan | Neuronopathy, distal hereditary motor, autosomal recessive 4, 611067 (3), Autosomal recessive; Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive
chr1	NOL9	620304.0 | NOL9 | Nucleolar protein 9 | 79707.0 | ENSG00000162408 | nan | nan
chr1	TAS1R1	606225.0 | TAS1R1, T1R1 | Taste receptor type 1, member 1 | 80835.0 | ENSG00000173662 | nan | nan
chr1	ZBTB48	165270.0 | ZBTB48, HKR3 | Zinc finger- and BTB domain-containing protein 48 | 3104.0 | ENSG00000204859 | nan | nan
chr1	KLHL21	616262.0 | KLHL21, KIAA0469 | Kelch-like 21 | 9903.0 | ENSG00000162413 | nan | nan
chr1	PHF13	620054.0 | PHF13, SPOC1 | PHD finger protein 13 | 148479.0 | ENSG00000116273 | nan | nan
chr1	THAP3	612532.0 | THAP3 | THAP domain-containing protein 3 | 90326.0 | ENSG00000041988 | nan | nan
chr1	DNAJC11	614827.0 | DNAJC11 | DNAJ/HSP40 homolog, subfamily C, member 11 | 55735.0 | ENSG00000007923 | nan | nan
chr1	CAMTA1	611501.0 | CAMTA1, KIAA0833, CECBA | Calmodulin-binding transcription activator 1 | 23261.0 | ENSG00000171735 | nan | Cerebellar dysfunction with variable cognitive and behavioral abnormalities, 614756 (3), Autosomal dominant
chr1	GLC3B	600975.0 | GLC3B | Glaucoma 3, primary infantile, B | 2728.0 | nan | nan | Glaucoma 3, primary infantile, B, 600975 (2), Autosomal recessive
chr1	SCZD12	608543.0 | SCZD12 | Schizophrenia 12 | 619488.0 | nan | max lod at D1S1612 | {Schizophrenia 12}, 181500 (2), Autosomal dominant
chr1	VAMP3	603657.0 | VAMP3 | Vesicle-associated membrane protein 3 | 9341.0 | ENSG00000049245 | nan | nan
chr1	PER3	603427.0 | PER3, FASPS3 | Period circadian regulator 3 | 8863.0 | ENSG00000049246 | mutation identified in 1 FASPS3 family | ?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant
chr1	UTS2	604097.0 | UTS2 | Urotensin II | 10911.0 | ENSG00000049247 | nan | nan
chr1	TNFRSF9	602250.0 | TNFRSF9, ILA, CD137, IMD109 | Tumor necrosis factor receptor superfamily, member 9 (interleukin-activated receptor; Ly63, mouse, homolog of) | 3604.0 | ENSG00000049249 | nan | Immunodeficiency 109 with lymphoproliferation, 620282 (3), Autosomal recessive
chr1	PARK7	602533.0 | DJ1, PARK7 | Oncogene DJ-1 | 11315.0 | ENSG00000116288 | nan | Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive
chr1	ERRFI1	608069.0 | MIG6, RALT | Mitogen-inducible gene 6 | 54206.0 | ENSG00000116285 | nan | nan
chr1	SLC45A1	605763.0 | SLC45A1, DNB5, IDDNPF | Solute carrier family 45, member 1 | 50651.0 | ENSG00000162426 | nan | Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive
chr1	RERE	605226.0 | RERE, NEDBEH | Arginine-glutamic acid dipeptide repeats | 473.0 | ENSG00000142599 | nan | Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant
chr1	ENO1	172430.0 | ENO1, PPH, MPB1 | Enolase-1, alpha | 2023.0 | ENSG00000074800 | nan | nan
chr1	CA6	114780.0 | CA6 | Carbonic anhydrase VI | 765.0 | ENSG00000131686 | nan | nan
chr1	SLC2A7	610371.0 | SLC2A7, GLUT7 | Solute carrier family 2 (facilitated glucose transporter), member 7 | 155184.0 | ENSG00000197241 | nan | nan
chr1	SLC2A5	138230.0 | SLC2A5, GLUT5 | Solute carrier family 2 (facilitated glucose transporter), member 5 | 6518.0 | ENSG00000142583 | nan | nan
chr1	GPR157	620860.0 | GPR157 | G protein-coupled receptor 157 | 80045.0 | ENSG00000180758 | nan | nan
chr1	MIR34A	611172.0 | MIR34A, MIRN34A | Micro RNA 34A | 407040.0 | ENSG00000284357 | nan | nan
chr1	H6PD	138090.0 | H6PD, GDH, G6PDH, CORTRD1 | Hexose-6-phosphate dehydrogenase | 9563.0 | ENSG00000049239 | digenic triallelic mutations with HSD11B1 | Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive
chr1	SPSB1	611657.0 | SPSB, SSB1 | SPRY domain- and SOCS box-containing 1 | 80176.0 | ENSG00000171621 | nan | nan
chr1	SLC25A33	610816.0 | SLC25A33 | Solute carrier family 25 (mitochondrial carrier), member 33 | 84275.0 | ENSG00000171612 | nan | nan
chr1	PIK3CD	602839.0 | PIK3CD, APDS, IMD14A, IMD14B, ROCHIS | Phosphatidylinositol 3-kinase, catalytic, 110kD, delta | 5293.0 | ENSG00000171608 | mutation identified in 1 ROCHIS family | Immunodeficiency 14A, autosomal dominant, 615513 (3), Autosomal dominant; Immunodeficiency 14B, autosomal recessive, 619281 (3), Autosomal recessive; ?Roifman-Chitayat syndrome, digenic, 613328 (3), Digenic recessive
chr1	CLSTN1	611321.0 | CLSTN1, KIAA0911 | Calsyntenin 1 | 22883.0 | ENSG00000171603 | nan | nan
chr1	CTNNBIP1	607758.0 | CTNNBIP1, ICAT | Catenin, beta-interacting protein 1 | 56998.0 | ENSG00000178585 | nan | nan
chr1	LZIC	610458.0 | LZIC | Leucine zipper and CTNNBIP1 domains-containing protein | 84328.0 | ENSG00000162441 | nan | nan
chr1	NMNAT1	608700.0 | NMNAT1, NMNAT, PNAT1, LCA9, SHILCA | Nicotinamide nucleotide adenylyltransferase 1 | 64802.0 | ENSG00000173614 | nan | Spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis, 619260 (3), Autosomal recessive; Leber congenital amaurosis 9, 608553 (3), Autosomal recessive
chr1	RBP7	608604.0 | RBP7, CRBP4 | Retinol-binding protein 7 | 116362.0 | ENSG00000162444 | nan | nan
chr1	UBE4B	613565.0 | UBE4B, UFD2A, KIAA0684 | Ubiquitination factor E4B | 10277.0 | ENSG00000130939 | nan | nan
chr1	KIF1B	605995.0 | KIF1B, CMT2A, CMT2A1, NBLST1 | Kinesin family member 1B | 23095.0 | ENSG00000054523 | nan | {Neuroblastoma, susceptibility to, 1}, 256700 (3), Somatic mutation, Autosomal dominant; Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant
chr1	PGD	172200.0 | PGD | 6-phosphogluconate dehydrogenase | 5226.0 | ENSG00000142657 | nan | nan
chr1	CENPS	609130.0 | CENPS, APITD1, MHF1 | Centromeric protein S | 378708.0 | ENSG00000175279 | nan | nan
chr1	CORT	602784.0 | CORT | Cortistatin | 1325.0 | ENSG00000241563 | nan | nan
chr1	DFFA	601882.0 | DFFA, DFF1 | DNA fragmentation factor, 45kD, alpha subunit | 1676.0 | ENSG00000160049 | nan | nan
chr1	PEX14	601791.0 | PEX14, PBD13A | Peroxisome biogenesis factor 14 | 5195.0 | ENSG00000142655 | nan | Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive
chr1	CASZ1	609895.0 | CASZ1, SRG | Castor zinc finger protein 1 | 54897.0 | ENSG00000130940 | nan | nan
chr1	C1orf127	619700.0 | C1orf127 | Chromosome 1 open reading frame 127 | 148345.0 | ENSG00000175262 | nan | nan
chr1	TARDBP	605078.0 | TARDBP, TDP43, ALS10 | TAR DNA-binding protein | 23435.0 | ENSG00000120948 | pseudogenes on 2, 6, 8, 13, 20 | Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant; Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant
chr1	MASP2	605102.0 | MASP2 | Mannan-binding lectin serine protease 2 | 10747.0 | ENSG00000009724 | nan | MASP2 deficiency, 613791 (3), Autosomal recessive
chr1	SRM	182891.0 | SRM, SPS1 | Spermidine synthase-1 | 6723.0 | ENSG00000116649 | ?pseudogene on 3p14-q21 | nan
chr1	EXOSC10	605960.0 | EXOSC10, PMSCL2 | Exosome component 10 | 5394.0 | ENSG00000171824 | nan | nan
chr1	MTOR	601231.0 | MTOR, FRAP1, SKS | Mechanistic target of rapamycin | 2475.0 | ENSG00000198793 | nan | Focal cortical dysplasia, type II, somatic, 607341 (3); Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant
chr1	ANGPTL7	618517.0 | ANGPTL7, CDT6 | Angiopoietin-like 7 | 10218.0 | ENSG00000171819 | nan | nan
chr1	UBIAD1	611632.0 | UBIAD1, TERE1, SCCD | UbiA prenyltransferase domain-containing protein 1 | 29914.0 | ENSG00000120942 | nan | Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant
chr1	DISP3	611251.0 | DISP3, PTCHD2, KIAA1337 | Dispatched RND transporter family, member 3 | 57540.0 | ENSG00000204624 | nan | nan
chr1	FBXO2	607112.0 | FBXO2, FBX2, FBG1, NFB42 | F-box protein 2 | 26232.0 | ENSG00000116661 | nan | nan
chr1	FBXO44	609111.0 | FBXO44, FBX44, FBX6A, FBG3 | F-box protein 44 | 93611.0 | ENSG00000132879 | nan | nan
chr1	FBXO6	605647.0 | FBXO6, FBX6, FBG2 | F-box protein 6 | 26270.0 | ENSG00000116663 | nan | nan
chr1	MAD2L2	604094.0 | MAD2L2, MAD2B, FANCV | Mitotic arrest-deficient 2 like 2 | 10459.0 | ENSG00000116670 | mutation identified in 1 FANCV patient; pseudogene on 14q21-q23 | ?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive
chr1	DRAXIN	612682.0 | DRAXIN, C1orf187 | Dorsal inhibitory axon guidance protein | 374946.0 | ENSG00000162490 | nan | nan
chr1	AGTRAP	608729.0 | AGTRAP | Angiotensin II receptor-associated protein | 57085.0 | ENSG00000177674 | nan | nan
chr1	MTHFR	607093.0 | MTHFR | Methylenetetrahydrofolate reductase | 4524.0 | ENSG00000177000 | nan | {Vascular disease, susceptibility to} (3); Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant; {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive
chr1	CLCN6	602726.0 | CLCN6, CLCN6 | Chloride channel 6 | 1185.0 | ENSG00000011021 | nan | Ceroid lipofuscinosis, neuronal, 15, 619173 (3), Autosomal dominant
chr1	NPPA	108780.0 | NPPA, PND, ANP, ATFB6, ATRST2 | Natriuretic peptide precursor A | 4878.0 | ENSG00000175206 | nan | Atrial standstill 2, 615745 (3), Autosomal recessive; Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant
chr1	NPPB	600295.0 | NPPB, BNP | Natriuretic peptide precursor B | 4879.0 | ENSG00000120937 | nan | nan
chr1	RNU5E-1	620362.0 | RNU5E-1, RNU5E | RNA, U5E small nuclear 1 | 26829.0 | ENSG00000199347 | nan | nan
